CCI ID,NAME,COUNTRY,LAT CENTRE,LON CENTRE,MAX DISTANCE TO LAND (KM),LAT MIN BOX,LAT MAX BOX,LON MIN BOX,LON MAX BOX,ID in GLOBOLAKES 1000 MASK,ID in CGLOPS MASK
136, ozero Vygozero,Russian Federation,63.6542,34.6597,7.7,63.1542,63.9208,34.0792,35.6042,136;,136;
137, Cree lake,Canada,57.3431,-106.9625,3.6,57.1792,57.7625,-107.2792,-106.0042,137;,137;
139, represa de Furnas,Brazil,-20.7431,-45.7347,2,-21.5625,-20.4542,-46.3542,-45.1792,,139;
140, Limfjorden,Denmark,56.9625,9.1069,6.5,56.4292,57.1458,8.3625,10.0125,,140;
141, Baird inlet and Kaghasuk lake,United States,60.7125,-163.6097,9.2,60.5292,61.0458,-165.0625,-163.3708,,141;
142, Khar-us lake,Mongolia,47.9486,92.1514,11.3,47.7458,48.4125,91.9292,92.5875,142;,142;
143, Sherman basin,Canada,67.8042,-97.5264,9,67.4875,68.0958,-98.5042,-96.9708,,143;
144, Zzzz,Finland;Russian Federation,69.0486,27.7681,4.1,68.6792,69.4042,26.9958,28.6875,,144;
145, Becharof lake,United States,57.9736,-156.6208,11.3,57.5708,58.1375,-156.9208,-155.8875,145;,145;
146, lake Saint Clair,Canada;United States,42.4125,-82.7181,13,42.2542,42.7292,-83.1125,-82.3542,146;,146;
147, Lesser Slave lake,Canada,55.4514,-115.0403,9,55.2542,55.6125,-116.2542,-114.7125,147;,147;
149, Eskimo lakes,Canada,69.7569,-130.2069,6.8,68.6375,69.8875,-133.5458,-130.1625,149;,149;
150, lake Toba,Indonesia,2.7903,98.6458,8.4,2.2792,2.9375,98.4792,99.1875,150;,150;
151, Red (upper & lower) lake,United States,47.9681,-95.0875,10.3,47.8292,48.2458,-95.3208,-94.4792,151;,151;
152, Aberdeen lake,Canada,64.4875,-98.7292,8.2,64.3208,64.7792,-99.8375,-97.8542,,152;
153, laguna de Chapala,Mexico,20.2486,-102.9903,8.4,20.0708,20.3708,-103.4625,-102.6542,153;,153;
154, embalse de Guri,Venezuela Bolivarian Republic of,7.0847,-62.9125,10.6,6.6458,7.8958,-63.4375,-62.4875,154;,154;
155, lac Bienville,Canada,55.1431,-72.5931,3.7,54.7875,55.3125,-73.7292,-72.1625,,155;
156, lake Eyasi,Venezuela Bolivarian Republic of,-3.5736,35.1542,9.3,-3.8708,-3.3125,34.7042,35.3875,156;,156;
157, Paijanne,Finland,61.4958,25.3986,3.8,61.1375,62.2792,25.1375,25.9958,157;,157;
158, lac Saint Jean,Canada,48.5597,-71.9597,12.8,48.3708,48.9292,-72.5125,-71.6042,158;,158;
159, Petit lac Opinaca and lac Low and reservoir Opinaca and lac Mischechun and lac Mistatikamekw and lac Mistamiskwas and lac Menouow and lac Wapakusi and lac Uskawanis,Canada,52.3764,-76.6708,3.9,52.1458,52.8708,-76.9125,-75.8958,,159;
160, lake Beloye,Russian Federation,60.1819,37.6375,16,59.9958,60.3625,37.1125,38.0625,160;,160;
161, Salto Grande dam,Argentina;Uruguay,-30.9375,-57.9097,3.4,-31.3125,-30.2542,-58.1042,-57.5625,,161;
162, Contwoyto lake,Canada,65.4431,-110.2958,3.9,65.1125,66.0875,-111.6375,-109.6458,,162;
163, Malaren,Sweden,59.4931,16.7625,2.7,59.1708,59.6875,16.0125,18.1875,163;,163;
165, lake Champlain,United States;Canada,44.4653,-73.3153,5.8,43.6708,45.2875,-73.5042,-73.0375,165;,165;
166, Abaya lake,Ethiopia,6.4958,37.9014,8.6,5.9375,6.6458,37.5625,38.0958,166;,166;
167, lago O'Higgins/lago San Martin and lago Ciervo and lago Cisnes and lago Gabriel Quiroz and lago Brazo Chacabuco and lago Brazo Maipu and lago Chico,Argentina;Chile,-49.1292,-72.3542,3.8,-49.2208,-48.2958,-73.1792,-72.1625,167;,167;
168, Caniapiscau reservoir,Canada,54.5014,-69.8097,5.4,53.5208,55.0208,-70.5875,-68.3042,,168;
169, Wholdaia lake and Anaunethaa lake,Canada,60.8069,-104.3125,3.1,60.2708,61.1208,-104.7542,-103.5875,,169;
170, Selawik lake,United States,66.4764,-160.6569,12.3,66.3208,66.6958,-161.2875,-160.1708,,170;
171, lago Viedma,Argentina,-49.6958,-72.2014,9,-49.8375,-49.3542,-73.0708,-71.9292,171;,171;
172, God's lake,Canada,54.7514,-94.1708,6.2,54.3375,54.9042,-94.8542,-93.5708,172;,172;
173, Razazza lake,Iraq,32.8208,43.5708,10.8,32.4792,33.1375,43.3708,43.9375,173;,173;
174, Island lake,Canada,53.7903,-94.5014,2.2,53.5958,54.1042,-95.0958,-93.6542,,174;
175, Songkhla lake et al,Thailand,7.6847,100.2319,9.5,7.0792,7.8458,100.0875,100.6292,,175;
176, lake Managua/lago Xolotlan,Nicaragua,12.3847,-86.3653,10.4,12.1208,12.5458,-86.6542,-86.0625,176;,176;
177, lake Imandra et al,Russian Federation,67.5653,32.8792,3.6,67.3292,68.1208,31.5375,33.5042,,177;
178, Takijuq lake,Canada,66.2375,-113.1514,5.9,65.9708,66.5958,-113.6458,-112.6875,,178;
179, Zhari Namco,China,30.9403,85.4903,10,30.6958,31.1208,85.2875,85.9292,179;,179;
181, Bosten lake,China,41.9958,86.9653,10.1,41.7875,42.1625,86.6958,87.4708,181;,181;
182, lac de Buyo,Côte d'Ivoire,6.2764,-7.1208,2.5,6.1875,7.0208,-7.4792,-6.8625,,182;
184, Warburton bay and MacKay lake,Canada,63.9569,-111.2792,3.9,63.6375,64.2792,-112.0042,-109.7792,,184;
186, Kumskoye reservoir,Russian Federation,65.7708,31.7903,7.8,65.3208,65.9292,31.3958,32.7708,186;,186;
188, represa Tres Marias,Brazil,-18.2458,-45.2625,2.3,-19.0792,-18.1542,-45.5708,-44.8708,,188;
189, Hottah lake,Canada,65.1208,-118.5375,6.9,64.5625,65.3375,-118.9292,-117.9625,,189;
190, Novosibirskoye reservoir,Russian Federation,54.7347,82.8347,8,53.8292,54.8875,81.1708,83.3042,190;,190;
191, Bras d'Or lake,Canada,45.8542,-60.8181,8.7,45.6292,46.3542,-61.1958,-60.2542,,191;
192, lake Ilmen,Russian Federation,58.2542,31.2514,11.4,58.0458,58.5375,30.8125,31.7875,192;,192;
193, Gorky reservoir,Russian Federation,57.2153,43.0931,6.3,56.5958,57.6458,41.6792,43.5875,193;,193;
194, Salton sea,United States,33.2458,-115.7236,11.9,33.0458,33.5708,-116.1208,-115.5375,194;,194;
195, Pielinen,Finland,63.2097,29.8764,4.1,62.7375,63.5875,29.0125,30.4125,195;,195;
197, Garabogazkol basin,Turkmenistan,41.3597,53.4681,53.2,40.5792,42.1958,52.6792,54.8375,,197;
198, lake Nipissing,Canada,46.2569,-79.5958,9,46.0792,46.4125,-80.5125,-79.3208,198;,198;
199, Capivara dam/rio Paranapanema,Brazil,-22.7208,-51.2153,2.2,-23.1542,-22.5375,-51.4042,-50.3042,,199;
200, lake Abitibi,Canada,48.6625,-79.8569,3.7,48.5375,48.9875,-80.2542,-79.2208,200;,200;
201, Fort Peck lake,United States,47.9625,-106.4375,3.5,47.3625,48.0625,-108.4208,-106.1625,201;,201;
202, Oulujarvi,Finland,64.2986,27.2153,6,64.0792,64.6125,26.6875,28.0542,202;,202;
203, represa de Sao Simao,Brazil,-18.7958,-50.3681,2.5,-19.0625,-18.2042,-50.6208,-49.2708,,203;
204, Chilika lake,India,19.7736,85.4014,8.1,19.4375,19.9208,85.0542,85.6792,,204;
205, Laguna lake,Philippines,14.4181,121.1264,8.1,14.1458,14.5792,121.0125,121.5208,205;,205;
207, Omullyakhskaya guba,Russian Federation,72.3236,144.9569,9.4,72.1125,72.4708,144.1375,146.9292,,207;
209, lago Llanquihue,Chile,-41.1236,-72.7819,11.6,-41.3625,-40.9208,-73.0708,-72.5042,209;,209;
210, lake Alexandrina and lake Albert,Australia,-35.4181,139.2264,8.6,-35.7708,-35.2708,138.7375,139.4292,210;,210;
211, Nonacho lake,Canada,61.6681,-109.5597,3.4,61.3875,62.2708,-109.9708,-107.8708,,211;
212, Teshekpuk lake,United States,70.5819,-153.5875,10.6,70.3875,70.7792,-154.3208,-152.8208,,212;
215, Tangra Yumco,China,31.1875,86.7042,7.6,30.7125,31.4125,86.3458,86.8542,215;,215;
216, Itaparica dam/Luiz Gonzaga dam,Brazil,-8.8319,-38.4875,3.2,-9.1875,-8.6792,-39.1458,-38.1708,,216;
217, rrepresa Marimbondo,Brazil,-20.3958,-48.9625,2.3,-20.5625,-19.9708,-49.2375,-48.1792,,217;
218, ozero Khantayskoye,Russian Federation,68.2792,89.9958,6.3,68.1625,68.5625,89.1542,92.4958,,218;
219, lago Colhue Huapi,Argentina,-45.5792,-68.7069,5.7,-45.7042,-45.2208,-69.0292,-68.5458,219;,219;
220, embalse Ezequiel Ramos Mejia,Argentina,-39.5264,-69.0847,6.6,-39.6792,-39.2292,-69.3458,-68.6458,220;,220;
221, lash Wa Juwayan,Iran Islamic Republic of;Afghanistan,31.5069,61.2875,5.9,31.1375,31.6208,61.0958,61.4708,,221;
222, Peter Pond lake,Canada,56.0208,-108.9458,10,55.5042,56.1875,-109.2292,-108.3958,222;,222;
223, lac Pipmuacan,Canada,49.5875,-70.4403,3,49.2542,49.9708,-71.0125,-69.7125,,223;
224, lac Minto,Canada,57.2514,-74.8542,1.9,57.0292,57.6542,-75.6375,-73.7792,,224;
225, South Moose lake AND Lamb lake,Canada,53.7986,-100.2569,7,53.5958,54.0958,-100.5208,-99.5625,225;,225;
226, Clinton-Colden lake,Canada,64.1097,-108.5181,3.8,63.8625,64.4542,-109.2625,-107.9042,,226;
227, Garry lake and Upper Macdougall lake,Canada,65.8847,-99.8542,5.4,65.5542,66.3375,-102.5958,-97.5542,,227;
228, ozero Segozerskoye,Russian Federation,63.2847,33.6403,9.6,63.1208,63.5292,33.2458,34.2375,228;,228;
229, Zuun Tooroi lake,Russian Federation;Mongolia,50.0764,115.8014,8.6,49.8625,50.2792,115.3292,116.0042,,229;
231, Mangueira lagoon,Brazil,-33.0792,-52.7347,5.3,-33.5625,-32.7292,-53.1792,-52.4958,231;,231;
232, Point lake and Redrock lake and Rocknest lake,Canada,65.1847,-112.3708,2.6,64.9042,65.7125,-114.5375,-112.0542,,232;
233, Chaohu lake,China,31.5097,117.5458,7.8,31.3875,31.7625,117.2458,117.8875,233;,233;
234, Belisario Dominguez/La Angostura,Mexico,16.0431,-92.3986,4.3,15.8875,16.3875,-93.0792,-92.1292,,234;
235, laguna Tamiahua,Mexico,21.6347,-97.5764,7.3,21.2208,22.1208,-97.8125,-97.3375,,235;
236, lake Simcoe,Canada,44.4625,-79.3569,8.4,44.1542,44.7792,-79.7292,-79.1208,236;,236;
237, Votkinsk reservoir,Russian Federation,56.8542,54.1403,4.1,56.6958,57.8375,53.9792,55.6292,237;,237;
238, lago das Brisas,Brazil,-18.2986,-48.9097,3,-18.6292,-18.0125,-49.1542,-48.1708,,238;
239, Ulungur lake,China,47.2431,87.2097,11.6,46.9792,47.4625,86.9792,87.6125,239;,239;
240, ozero Pyasino,Russian Federation,70.0153,87.7792,6.1,69.4125,70.1292,87.3625,88.2375,240;,240;
241, Sarygamysh lake,Turkmenistan;Uzbekistan,41.9542,57.3514,23.7,41.5208,42.4042,56.9875,57.9042,241;,241;
242, ozero Kovdozero,Russian Federation,66.6819,32.1708,3.2,66.3792,66.9792,31.4875,32.4958,242;,242;
243, Toledo Bend reservoir,United States,31.2958,-93.6542,4.1,31.1042,31.9458,-93.9875,-93.5292,243;,243;
244, Dead sea,Jordan;Israel;Palestine State of,31.4597,35.4819,8,31.2625,31.8042,35.3458,35.6292,244;,244;
245, lago de Izabal,Guatemala,15.4903,-89.1847,9.1,15.3208,15.8292,-89.4458,-88.7792,245;,245;
246, Kaminak lake,Canada,62.1431,-95.1708,3.8,61.8875,62.4958,-95.5875,-93.9375,,246;
247, Sasyqkol,Kazakhstan,46.5708,81.0208,8.3,46.4125,46.7542,80.5625,81.2708,247;,247;
248,  reservoir aux Outardes 4,Canada,50.1847,-69.2208,2.5,49.6042,50.7042,-69.4958,-68.8542,,248;
249, Hirakud reservoir,India,21.5764,83.8153,5.6,21.4375,21.8458,83.1875,84.0708,249;,249;
250, Proletarskoye reservoir,Russian Federation,46.3653,42.7042,4.6,45.9292,46.6292,41.8125,43.6542,250;,250;
251, Cross lake,Canada,54.6736,-97.8181,2.9,54.4375,54.9958,-98.5125,-96.6458,,251;
252, lac de Gras,Canada,64.4653,-110.5097,5.7,64.3042,64.7625,-111.2208,-109.5375,,252;
253, lac Guillaume-Delisle,Canada,56.2153,-76.3264,4.9,56.0625,56.5792,-76.6708,-75.8708,,253;
254, Ennadai lake,Canada,60.8958,-101.1569,4.1,60.6375,61.2958,-101.8625,-100.7375,,254;
